,schoolshort,studentid,gradelevelduringadminyear,ell,lunch_recode,sped_recode,ethnicity_recode,pre_score,lexilelevel,interim_score
0,BLOOMFIELD,455857,12.0,EL,Free/Reduced,Special Education,Hispanic or Latino,385.0,foundational_reader,450.0
1,BLOOMFIELD,455869,12.0,IFEP,Free/Reduced,Special Education,Hispanic or Latino,975.0,below_gl_4_6_yrs,955.0
2,BLOOMFIELD,455893,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1205.0,grade_level,1225.0
3,BLOOMFIELD,455917,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,915.0,between_6_yrs_fr,1005.0
4,COLLINS,455929,12.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,650.0,between_6_yrs_fr,690.0
5,BLOOMFIELD,455941,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,890.0,between_6_yrs_fr,980.0
6,BLOOMFIELD,455953,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1315.0,college_ready,1375.0
7,BLOOMFIELD,455977,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,720.0,between_6_yrs_fr,800.0
8,BLOOMFIELD,455989,12.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1070.0,below_gl_1_3_yrs,1125.0
9,BLOOMFIELD,456001,12.0,RFEP,Paid,Special Education,Hispanic or Latino,860.0,between_6_yrs_fr,870.0
10,BLOOMFIELD,456013,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1180.0,below_gl_1_3_yrs,1215.0
11,BLOOMFIELD,456025,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1180.0,below_gl_1_3_yrs,1275.0
12,BLOOMFIELD,456037,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1000.0,below_gl_4_6_yrs,995.0
13,BLOOMFIELD,456049,12.0,RFEP,Free/Reduced,Special Education,Hispanic or Latino,1385.0,college_ready,1385.0
14,BLOOMFIELD,456061,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1015.0,below_gl_4_6_yrs,1150.0
15,BLOOMFIELD,456073,12.0,RFEP,Free/Reduced,Special Education,Hispanic or Latino,1280.0,grade_level,1385.0
16,BLOOMFIELD,456085,12.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,1195.0,grade_level,1150.0
17,BLOOMFIELD,456097,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,840.0,between_6_yrs_fr,890.0
18,BLOOMFIELD,456109,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1035.0,below_gl_4_6_yrs,990.0
19,BLOOMFIELD,456121,12.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,1185.0,grade_level,1175.0
20,BLOOMFIELD,456157,12.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,875.0,between_6_yrs_fr,865.0
21,BLOOMFIELD,456169,12.0,IFEP,Paid,Non-Special Education,Hispanic or Latino,1160.0,below_gl_1_3_yrs,1115.0
22,BLOOMFIELD,456205,12.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,685.0,between_6_yrs_fr,645.0
23,BLOOMFIELD,456217,12.0,RFEP,Paid,Non-Special Education,Hispanic or Latino,850.0,between_6_yrs_fr,910.0
24,BLOOMFIELD,456229,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,980.0,below_gl_4_6_yrs,1015.0
25,BLOOMFIELD,456241,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1280.0,grade_level,1280.0
26,BLOOMFIELD,456253,12.0,EL,Free/Reduced,Non-Special Education,Hispanic or Latino,790.0,between_6_yrs_fr,885.0
27,BLOOMFIELD,456265,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1135.0,below_gl_1_3_yrs,1115.0
28,BURTON,456301,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1100.0,below_gl_1_3_yrs,1170.0
29,TENNENBAUM,456325,12.0,RFEP,Free/Reduced,Special Education,Hispanic or Latino,770.0,between_6_yrs_fr,805.0
30,OUCHI,456349,9.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1080.0,grade_level,1140.0
31,TENNENBAUM,456433,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1125.0,below_gl_1_3_yrs,1180.0
32,TENNENBAUM,456445,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1305.0,college_ready,1365.0
33,TENNENBAUM,456469,12.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1135.0,below_gl_1_3_yrs,1160.0
34,TENNENBAUM,456481,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1060.0,below_gl_1_3_yrs,935.0
35,BURTON,456625,9.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,875.0,below_gl_4_6_yrs,940.0
36,BURTON,456637,9.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,790.0,below_gl_4_6_yrs,775.0
37,SMASS,460225,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,990.0,below_gl_4_6_yrs,1055.0
38,SMASS,460237,12.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,1455.0,college_ready,1465.0
39,SMASS,460249,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,875.0,between_6_yrs_fr,900.0
40,SMASS,460261,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,980.0,below_gl_4_6_yrs,1050.0
41,SMASS,460273,12.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,1150.0,below_gl_1_3_yrs,1150.0
42,SMASS,460285,12.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,1040.0,below_gl_4_6_yrs,1090.0
43,SMASS,460309,12.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,980.0,below_gl_4_6_yrs,1070.0
44,SMASS,460321,12.0,EO,Paid,Non-Special Education,Hispanic or Latino,1455.0,college_ready,1510.0
45,SMASS,460333,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,905.0,between_6_yrs_fr,900.0
46,SMASS,460357,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1125.0,below_gl_1_3_yrs,1195.0
47,SMASS,460393,12.0,EO,Paid,Non-Special Education,Hispanic or Latino,1210.0,grade_level,1260.0
48,SMASS,460405,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1115.0,below_gl_1_3_yrs,955.0
49,SMASS,460417,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,990.0,below_gl_4_6_yrs,1050.0
50,SMASS,460429,12.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,1265.0,grade_level,1355.0
51,SMASS,460453,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,850.0,between_6_yrs_fr,870.0
52,SMASS,460477,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1520.0,college_ready,1575.0
53,SMASS,460489,12.0,RFEP,Paid,Non-Special Education,Hispanic or Latino,1240.0,grade_level,1250.0
54,SMASS,460501,12.0,RFEP,Paid,Special Education,Hispanic or Latino,1000.0,below_gl_4_6_yrs,1015.0
55,SMASS,460513,12.0,RFEP,Paid,Non-Special Education,Hispanic or Latino,1175.0,below_gl_1_3_yrs,<built-in function zeros>
56,SMASS,460525,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1315.0,college_ready,1370.0
57,SMASS,463729,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1130.0,below_gl_1_3_yrs,1240.0
58,SMASS,463741,12.0,RFEP,Free/Reduced,Special Education,Hispanic or Latino,1025.0,below_gl_4_6_yrs,1065.0
59,SMASS,463753,12.0,RFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,765.0,between_6_yrs_fr,865.0
60,SMASS,463765,12.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,1005.0,below_gl_4_6_yrs,1035.0
61,SMASS,463777,12.0,IFEP,Free/Reduced,Non-Special Education,Hispanic or Latino,1370.0,college_ready,1330.0
62,SMASS,463789,12.0,EO,Free/Reduced,Non-Special Education,Hispanic or Latino,1285.0,grade_level,1315.0
